target,pred,subset
158000.0,350103.8,0
154000.0,349612.47,0
154000.0,349106.3,0
157000.0,348718.94,0
159000.0,348416.6,0
164000.0,347875.75,0
166000.0,347496.3,0
170000.03,347620.6,0
174000.0,347336.5,0
169000.0,346842.3,0
165000.0,348063.66,0
161999.97,348546.44,0
161000.0,348750.75,0
153000.0,348705.03,0
139000.0,348675.75,0
134000.0,348366.44,0
133000.0,347530.47,0
136000.0,347165.72,0
139000.0,346503.0,0
144000.0,345707.53,0
141000.0,344939.7,0
142000.0,344200.12,0
143000.0,343589.94,0
153000.0,343083.97,0
153000.0,342555.94,0
153000.0,342007.6,0
152000.0,341484.47,0
148000.0,341110.03,0
146999.97,340630.44,0
152000.0,340219.34,0
163000.0,339948.97,0
166000.0,339839.38,0
165000.0,339917.25,0
166000.0,339999.28,0
167000.0,340423.2,0
177000.0,340700.72,0
171000.0,341074.47,0
169000.0,341411.12,0
168000.0,341740.94,0
168000.0,341810.62,0
174000.0,341873.9,0
164000.0,341971.6,0
163000.0,342009.56,0
159000.0,341941.5,0
164000.0,342212.78,0
172000.0,343296.28,0
177000.0,344910.9,0
187000.0,346332.84,0
203000.0,347605.53,0
217000.0,348684.25,0
234000.0,349848.16,0
244000.0,354724.22,0
250000.0,364877.75,0
243000.0,370123.62,0
244000.0,374155.22,0
249000.0,376917.7,0
253000.03,379690.2,0
248000.0,380502.0,0
242000.0,380948.7,0
233000.0,381686.72,0
224000.0,378050.16,0
219000.0,374246.44,0
213000.0,370562.6,0
212000.0,367428.38,0
214999.97,365166.94,0
222000.0,363103.34,0
244000.0,361467.53,0
268000.03,360835.53,0
292000.0,360319.72,0
312000.0,360190.34,0
354000.0,361538.5,0
374000.0,362651.28,0
378000.0,363015.7,0
392000.0,363897.94,0
412000.0,364270.84,0
439000.0,364343.28,0
451000.0,364320.66,0
453000.0,365170.88,0
454000.0,365886.44,0
453000.0,365593.44,0
451000.0,365931.3,0
447000.0,366703.3,0
440000.0,367311.66,0
427000.0,370299.84,0
408000.0,392861.06,0
392000.0,409785.6,0
380000.0,419481.16,0
373000.0,424880.34,0
373000.0,427205.94,0
373000.0,429133.88,0
377000.0,435720.4,0
382000.0,439772.3,0
391000.0,436541.72,0
402000.0,431144.38,0
413000.0,422758.7,0
420000.0,414577.12,0
433000.0,406112.4,0
